sentence=1	But	but	but	CC	O	(h<root> / --LEX--  :ARG2 (m<o>))	contrast-01	(o(s()))	0	ROOT	true
2	at	_	at	IN	O	_	i	_	0	IGNORE	true
3	the	_	the	DT	O	_	person	_	0	IGNORE	true
4	other	_	other	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	5	MOD_mod	true
5	end	_	end	NN	O	(w<root> / --LEX--  :poss (h<poss>)  :location-of (r<mod>))	$LEMMA$	(mod(), poss())	1	MOD_mod	true
6	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
7	the	_	the	DT	O	_	person	_	0	IGNORE	true
8	scale	_	scale	NN	O	(d<root> / --LEX--)	$LEMMA$	()	5	APP_poss	true
9	we've	_	we've	NN	O	_	mean-01	_	0	IGNORE	true
10	got	_	get	VBD	O	(s<root> / --LEX--  :ARG1 (w<s>)  :ARG2 (d<o>))	obligate-01	(s(), o())	1	APP_o	true
11	to	_	to	TO	O	_	cause-01	_	0	IGNORE	true
12	make	_	make	VB	O	_	$LEMMA$-02	_	0	IGNORE	true
13	sure	_	sure	JJ	O	(c<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (m<o>))	en$LEMMA$-01	(o(s()))	10	APP_o	true
14	the	_	the	DT	O	_	mean-01	_	0	IGNORE	true
15	people	_	people	NNS	O	(d<root> / --LEX--)	person	()	49	APP_op2	true
16	who	_	who	WP	O	_	amr-unknown	_	0	IGNORE	true
17	eat	_	eat	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	15	MOD_s	true
18	a	_	a	DT	O	_	1	_	0	IGNORE	true
19	lot	_	lot	NN	O	(explicitanon0<root> / --LEX--  :quant-of (b<mod>))	$LEMMA$	(mod())	21	MOD_mod	true
20	of	_	of	IN	O	_	include-91	_	0	IGNORE	true
21	food	_	food	NN	O	(d<root> / --LEX--)	$LEMMA$	()	17	APP_o	true
22	-	_	-	:	O	_	$LEMMA$	_	0	IGNORE	true
23	we	_	we	PRP	O	(d<root> / --LEX--)	$LEMMA$	()	1	APP_s	true
24	all	_	all	DT	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	23	MOD_mod	true
25	know	_	know	VBP	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	13	APP_o	true
26	the	_	the	DT	O	_	mean-01	_	0	IGNORE	true
27	teenage	_	teenage	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	28	MOD_mod	true
28	boy	_	boy	NN	O	(d<root> / --LEX--)	$LEMMA$	()	25	APP_o	true
29	who	_	who	WP	O	_	have-org-role-91	_	0	IGNORE	true
30	comes	_	come	VBZ	O	(g<root> / --LEX--  :ARG4 (n<o>)  :ARG1 (t<s>))	$LEMMA$-01	(s(), o())	28	MOD_s	true
31	home	_	home	RB	O	(d<root> / --LEX--)	$LEMMA$	()	30	APP_o	true
32	from	_	from	IN	O	_	have-org-role-91	_	0	IGNORE	true
33	school	_	school	NN	O	(s<root> / --LEX--  :source-of (d<mod>))	$LEMMA$	(mod())	30	MOD_mod	true
34	and	_	and	CC	O	_	$LEMMA$	_	0	IGNORE	true
35	eats	_	eat	VBZ	O	(s<root> / --LEX--  :ARG0 (y<s>)  :ARG1 (a<o>))	$LEMMA$-01	(s(), o())	28	MOD_s	true
36	a	_	a	DT	O	_	1	_	0	IGNORE	true
37	whole	_	whole	JJ	O	(p<root> / --LEX--  :mod-of (s<mod>))	$LEMMA$	(mod())	38	MOD_mod	true
38	loaf	_	loaf	NN	O	(d<root> / --LEX--)	$LEMMA$	()	35	APP_o	true
